arquivo;fonte
01_TEMPERAFLIX_TRADICIONAL.png;Nova logotipia Temperanzza (1).pdf / page-01.png
02_TEMPERAFLIX_ERVAS_FINAS.png;Nova logotipia Temperanzza (1).pdf / page-02.png
03_TEMPERAFLIX_SABOR_BACON.png;Nova logotipia Temperanzza (1).pdf / page-03.png
04_DU_CHEFE_COM_PAPRICA.png;Nova logotipia Temperanzza (1).pdf / page-04.png
05_TEMPERO_DO_EDU_EDU_GUEDES.png;Nova logotipia Temperanzza (1).pdf / page-05.png
06_ANA_MARIA.png;Nova logotipia Temperanzza (1).pdf / page-06.png
07_CHIMI_CHURRI_PICANTE.png;Nova logotipia Temperanzza (1).pdf / page-07.png
08_CHIMI_CHURRI_SEM_PIMENTA.png;Nova logotipia Temperanzza (1).pdf / page-08.png
09_CURCUMA.png;Nova logotipia Temperanzza (1).pdf / page-09.png
10_ERVAS_FINAS.png;Nova logotipia Temperanzza (1).pdf / page-10.png
11_LEMON_PEPPER.png;Nova logotipia Temperanzza (1).pdf / page-11.png
12_PAPRICA_DEFUMADA.png;Nova logotipia Temperanzza (1).pdf / page-12.png
13_PAPRICA_DOCE.png;Nova logotipia Temperanzza (1).pdf / page-13.png
14_PAPRICA_PICANTE.png;Nova logotipia Temperanzza (1).pdf / page-14.png
15_SALSA_CEBOLA_E_ALHO.png;Nova logotipia Temperanzza (1).pdf / page-15.png
